,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,Ratio of igse,ratio of se,Error of iGSE,Error of SE
87,158750,0.0177,0.1,6.481292249,4.583849872,5.43162,0.838045839,1.184947185,0.193252151,0.15608053
88,158750,0.0196,0.1,8.192365961,5.793995119,6.83262,0.8340228,1.179258846,0.199007988,0.152009753
89,158760,0.022,0.1,10.68362004,7.555917626,8.9355,0.83637381,1.182583035,0.19563763,0.154393417
90,158750,0.0246,0.1,13.80836459,9.765871961,11.8832598,0.860584157,1.216815032,0.162001405,0.178182407
91,158740,0.0277,0.1,18.13565156,12.82631625,15.6034,0.860371625,1.216514523,0.162288447,0.177979399
92,158750,0.0313,0.1,24.0160091,16.98515913,20.8739492,0.869168108,1.228952231,0.150525417,0.186298723
93,158750,0.0351,0.1,31.24926512,22.10083027,27.4909707,0.87973175,1.243888594,0.136710139,0.196069484
94,158750,0.0392,0.1,40.27913264,28.48714267,35.4005898,0.878881631,1.242686577,0.137809649,0.195291863
95,158740,0.0442,0.1,53.06769183,37.5317642,47.0724492,0.887026505,1.254202945,0.127362029,0.202680871
96,158750,0.0491,0.1,67.57448679,47.79159629,61.5298203,0.910548096,1.287461083,0.098239625,0.223277493
97,158750,0.0549,0.1,87.33719592,61.76863794,78.8897188,0.903277441,1.277180806,0.107079569,0.217025502
98,158750,0.0621,0.1,115.9229427,81.98571295,105.385156,0.909096625,1.285408789,0.099993083,0.222037372
99,158750,0.0693,0.1,149.1539138,105.4880913,136.979141,0.918374433,1.298527059,0.088880487,0.229896679
100,158750,0.0779,0.1,195.1490893,138.0178664,180.217344,0.923485447,1.305753731,0.082854097,0.234158803
101,158750,0.0878,0.1,256.8900309,181.6837276,238.358375,0.927861522,1.311941241,0.077747031,0.237770741
102,158750,0.0974,0.1,326.0550571,230.600222,307.5635,0.94328701,1.333751968,0.060122729,0.250235408
103,158750,0.1097,0.1,428.5098297,303.0606633,405.323625,0.945891079,1.337433966,0.057204178,0.252299534
104,158750,0.1236,0.1,563.6478478,398.6361077,532.661938,0.945026119,1.336210965,0.058171811,0.251615182
105,158750,0.139,0.1,738.2120456,522.0954495,696.741562,0.943823074,1.33450993,0.059520611,0.250661252
106,158750,0.1559,0.1,960.8986217,679.5890163,909.517,0.946527531,1.338333873,0.056493305,0.252802294
107,158750,0.1746,0.1,1246.577097,881.6331752,1184.33038,0.950065891,1.343336904,0.052558575,0.255585105
108,177890,0.0107,0.1,2.430863648,1.719211786,2.31698,0.953150952,1.347698997,0.049151761,0.257994551
109,177880,0.0121,0.1,3.224205364,2.28029732,3.01302,0.934500027,1.321327694,0.070090927,0.243185469
110,177900,0.0138,0.1,4.361955414,3.084963306,4.08506,0.936520347,1.324184308,0.067782459,0.244818116
111,177890,0.0155,0.1,5.695967535,4.028434308,5.26115,0.923662217,1.306003672,0.082646861,0.234305369
112,177880,0.0172,0.1,7.233983139,5.116185386,6.58718,0.910588243,1.287517848,0.098191205,0.223311738
113,177890,0.0193,0.1,9.426827044,6.667059326,8.58442,0.910637265,1.287587163,0.098132086,0.223353549
114,177880,0.0215,0.1,12.0794106,8.543081011,11.29696,0.935224439,1.322351969,0.06926205,0.243771686
115,177900,0.0243,0.1,16.00603641,11.32016041,14.8440596,0.927403838,1.311294104,0.07827891,0.237394573
116,177900,0.0275,0.1,21.26816158,15.04176266,19.6430391,0.923588954,1.305900083,0.082732742,0.234244631
117,177890,0.0308,0.1,27.59176884,19.5140909,25.6997695,0.931428849,1.31698523,0.073619312,0.240690042
118,177890,0.0344,0.1,35.57017168,25.15676205,33.1949609,0.933224647,1.319524382,0.071553354,0.242151177
119,177890,0.0387,0.1,46.62492188,32.97515896,43.6077109,0.935287592,1.322441264,0.06918985,0.243822749
120,177890,0.043,0.1,59.39559171,42.00712836,57.0833906,0.961071166,1.358897712,0.040505672,0.264109439
121,177880,0.0481,0.1,76.83513071,54.34112373,73.4521484,0.955970891,1.351686225,0.046056955,0.260183331
122,177890,0.0544,0.1,101.9570704,72.10844475,96.8234297,0.949648998,1.342747442,0.053020645,0.255258309
123,177890,0.0608,0.1,131.6455159,93.10539595,125.877297,0.956183704,1.351987129,0.04582414,0.260347988
124,177890,0.0682,0.1,171.4021259,121.222988,165.041844,0.962892631,1.361473156,0.03853739,0.265501493
125,177890,0.0769,0.1,225.8508779,159.7314977,218.376938,0.966907634,1.367150131,0.034224951,0.268551436
126,177900,0.0853,0.1,286.6204983,202.7103985,279.460031,0.975017602,1.378617146,0.02562251,0.274635454
127,177880,0.096,0.1,375.9705838,265.9026388,367.735219,0.97809572,1.382969423,0.022394822,0.276918214
128,177890,0.1083,0.1,496.0114986,350.8007596,484.532562,0.976857519,1.38121868,0.023690743,0.276001683
129,177900,0.1216,0.1,647.3133111,457.8079377,635.75675,0.982146882,1.388697525,0.018177646,0.279900783
130,177890,0.1366,0.1,845.5689958,598.0229226,826.997312,0.978036466,1.38288564,0.022456764,0.276874406
131,177890,0.1529,0.1,1095.559844,774.8272501,1082.632,0.988199783,1.397255969,0.011941125,0.28431152
132,199160,0.0108,0.1,2.956602899,2.091037296,3.07817,1.041117155,1.472078,0.039493303,0.32068817
133,199160,0.0123,0.1,3.98629203,2.819277932,4.08116,1.02379855,1.447590517,0.023245345,0.309196912
134,199160,0.0139,0.1,5.27956584,3.73393704,5.35013,1.013365523,1.432838835,0.013189242,0.302084802
135,199170,0.0154,0.1,6.681781555,4.72564457,6.67031,0.998283159,1.411513266,0.001719793,0.291540488
136,199160,0.0173,0.1,8.728704402,6.173316835,8.58571,0.983617912,1.390777475,0.01665493,0.280977714
137,199170,0.0193,0.1,11.22403559,7.938122848,11.27671,1.004693001,1.420576403,0.00467108,0.296060389
138,199160,0.0217,0.1,14.69172773,10.39062454,14.7862598,1.006434374,1.4230386,0.006393237,0.297278373
139,199170,0.0245,0.1,19.418197,13.73338779,19.2335,0.990488458,1.400492019,0.009602881,0.285965228
140,199170,0.0275,0.1,25.32070221,17.90789446,25.2129395,0.995744087,1.407923168,0.004274103,0.289733969
141,199170,0.0307,0.1,32.6075321,23.06145535,32.3658398,0.992587838,1.40346042,0.007467512,0.287475453
142,199160,0.0346,0.1,42.91612998,30.3521411,42.1095508,0.981205687,1.387366732,0.019154305,0.279210048
143,199160,0.0384,0.1,54.52584111,38.56303036,54.6614297,1.002486685,1.417456802,0.002480517,0.294511128
144,199160,0.043,0.1,70.71377691,50.01183788,70.5863203,0.99819757,1.411392248,0.001805684,0.291479742
145,199170,0.0487,0.1,94.13507683,66.57639299,94.1681875,1.000351736,1.41443811,0.000351612,0.293005475
146,199170,0.0543,0.1,120.8828905,85.49360234,119.957992,0.992348806,1.403122441,0.007710187,0.287303823
147,199160,0.061,0.1,157.918486,111.6867754,156.023328,0.987999138,1.396972269,0.012146632,0.284166177
148,199170,0.0688,0.1,208.2285251,147.2682084,206.479234,0.991599176,1.402062511,0.008471995,0.286765039
149,199170,0.0762,0.1,263.3178758,186.2297772,266.24175,1.011103972,1.429641135,0.010982027,0.300523764
150,199170,0.0859,0.1,346.7747647,245.2540943,349.986906,1.009262904,1.427037975,0.00917789,0.2992478
151,199170,0.0967,0.1,455.2236349,321.9538203,458.246531,1.006640464,1.42333,0.006596659,0.297422242
152,199160,0.1086,0.1,594.2947951,420.3109528,598.521688,1.007112451,1.423997362,0.007062222,0.297751508
153,199160,0.1219,0.1,774.9710437,548.093001,779.991062,1.006477685,1.42309984,0.006435995,0.297308613
154,199160,0.1366,0.1,1006.697225,711.9797668,1019.71212,1.012928311,1.432220644,0.012763304,0.301783559
155,224180,0.0109,0.1,3.625433842,2.564063432,4.20466,1.159767405,1.639842426,0.137758144,0.39018531
156,224180,0.0122,0.1,4.696703575,3.321711666,5.35803,1.140806507,1.613032839,0.12342716,0.380049819
157,224180,0.0135,0.1,5.926949307,4.191794596,6.66977,1.125329348,1.591149053,0.111371261,0.371523367
158,224180,0.0152,0.1,7.783668349,5.504946512,8.61057,1.106235468,1.564151437,0.096033323,0.360675715
159,224180,0.017,0.1,10.06616053,7.119223589,11.2009199,1.112730109,1.573334474,0.10130948,0.36440724
160,224180,0.0191,0.1,13.15499688,9.303782094,14.5931904,1.109326785,1.568522376,0.098552371,0.362457294
161,224180,0.0216,0.1,17.45153877,12.34248213,19.0534102,1.091789696,1.54372597,0.084072689,0.352216637
162,224180,0.0242,0.1,22.65953267,16.0258004,24.4208496,1.077729623,1.52384586,0.072123491,0.343765648
163,224180,0.027,0.1,29.14083409,20.60965676,31.2830098,1.073511132,1.517881164,0.068477289,0.341186897
164,224180,0.0304,0.1,38.26970272,27.06598702,40.6478906,1.062142837,1.501807068,0.058507043,0.334135508
165,224180,0.0338,0.1,48.82558575,34.53156352,52.8640391,1.082711826,1.5308904,0.076393204,0.346785374
166,224180,0.0378,0.1,63.13315941,44.6504977,67.5754609,1.070363998,1.513431303,0.065738382,0.339249824
167,224170,0.0428,0.1,83.98311822,59.39648929,89.3642578,1.064074063,1.504537707,0.060215792,0.335344009
168,224180,0.0478,0.1,108.2615175,76.5672221,115.383578,1.065785707,1.506957871,0.061725079,0.336411442
169,224170,0.0538,0.1,142.0496441,100.4636449,148.218594,1.043428126,1.475345575,0.041620621,0.322192701
170,224180,0.0604,0.1,185.3272279,131.0714218,193.856656,1.04602361,1.479015436,0.043998634,0.323874535
171,224180,0.0671,0.1,235.9989669,166.9086646,250.567094,1.061729622,1.501222807,0.058140624,0.333876361
172,224180,0.0755,0.1,309.4621094,218.8649726,328.221688,1.060619953,1.499653801,0.057155207,0.333179431
173,224180,0.085,0.1,406.3250853,287.3706537,428.405844,1.054342593,1.490777985,0.051541684,0.329209305
174,224180,0.0956,0.1,532.2857944,376.4555087,560.299062,1.052628246,1.488353999,0.049996992,0.328116832
175,224180,0.1072,0.1,692.5073189,489.7710924,728.390125,1.051815779,1.48720522,0.049263169,0.327597841
176,224190,0.1201,0.1,899.1677759,635.9302954,952.628,1.059455227,1.498006947,0.056118678,0.332446353
177,251220,0.011,0.1,4.414189876,3.121905774,5.61777,1.272661611,1.799468148,0.214245176,0.444280244
178,251230,0.0123,0.1,5.70615764,4.03564119,6.93581,1.215495687,1.718638916,0.177290376,0.418144212
179,251220,0.0137,0.1,7.309438739,5.169550846,8.79337,1.20301576,1.700993038,0.168755694,0.412108117
180,251220,0.0153,0.1,9.421189751,6.663072389,11.4626602,1.21668924,1.72032653,0.178097441,0.418715004
181,251230,0.0173,0.1,12.49465993,8.836763277,14.8126104,1.185515291,1.676248411,0.156484941,0.40342971
182,251230,0.0195,0.1,16.45043644,11.63445931,19.3045,1.173494702,1.65925201,0.147844469,0.397318795
183,251220,0.0219,0.1,21.4771012,15.18953378,24.9294492,1.160745529,1.641225436,0.138484729,0.390699182
184,251220,0.0245,0.1,27.79221655,19.65585618,31.4570195,1.131864364,1.600389177,0.116501913,0.375151986
185,251230,0.0275,0.1,36.24238125,25.6321777,41.0408516,1.132399423,1.601145719,0.116919366,0.375447226
186,251230,0.0307,0.1,46.67226842,33.00864448,53.2218594,1.140331533,1.612361254,0.123062047,0.379791596
187,251230,0.0343,0.1,60.2151021,42.58672151,67.9236406,1.128016697,1.594948805,0.1134883,0.373020628
188,251220,0.0387,0.1,79.45402367,56.19331797,89.0591328,1.120888895,1.584870515,0.107850917,0.369033627
189,251220,0.0432,0.1,102.3016143,72.35212109,113.863898,1.113021518,1.573746509,0.101544773,0.36457365
190,251220,0.0486,0.1,134.0956355,94.83822637,146.072516,1.089315961,1.540228256,0.081992704,0.350745582
191,251230,0.0547,0.1,175.9663657,124.4510156,191.964656,1.090916751,1.542491679,0.08333977,0.351698285
192,251210,0.0606,0.1,222.6328641,157.4555793,243.475188,1.093617463,1.546310325,0.085603482,0.35329928
193,251220,0.0683,0.1,293.0731708,207.2740072,319.316125,1.089544035,1.540550739,0.08218487,0.35088149
194,251230,0.0769,0.1,384.898535,272.2168717,418.039375,1.086102796,1.535685031,0.079276838,0.348824805
195,251230,0.0865,0.1,504.352553,356.6999136,546.667562,1.083899663,1.532569931,0.077405378,0.347501227
196,251220,0.097,0.1,656.1906874,464.0864017,710.607688,1.082928639,1.531196961,0.07657812,0.346916154
197,251230,0.1086,0.1,850.70029,601.6519955,925.791062,1.088269362,1.538748428,0.081109848,0.350121188
198,282490,0.011,0.1,5.290934578,3.741977503,7.12538,1.346714819,1.904174997,0.257452293,0.474838184
199,282490,0.0124,0.1,6.967523029,4.927733284,9.11054,1.307572284,1.848829771,0.235223924,0.459117321
200,282490,0.0138,0.1,8.908871196,6.300738575,11.7573203,1.319731764,1.866022556,0.242270265,0.464100797
201,282490,0.0155,0.1,11.63447162,8.228400943,15.1282402,1.300294564,1.838539505,0.230943489,0.456090012
202,282490,0.0175,0.1,15.37620006,10.87471294,19.5674102,1.272577758,1.799349584,0.214193401,0.444243626
203,282490,0.0197,0.1,20.18433958,14.27523692,25.2122793,1.249101027,1.766154877,0.199424243,0.43379824
204,282490,0.022,0.1,26.01376167,18.39805606,32.1091797,1.234315133,1.745248498,0.189834125,0.427015694
205,282490,0.0247,0.1,33.94043272,24.00414025,40.9932695,1.207800438,1.70775829,0.172048653,0.414437039
206,282480,0.0275,0.1,43.43578417,30.719663,52.8261211,1.216188958,1.719619161,0.17775935,0.418475891
207,282490,0.0308,0.1,56.35840613,39.85909951,67.7920078,1.202873049,1.700791253,0.168657074,0.412038369
208,282480,0.0348,0.1,74.60665622,52.7650503,88.7609531,1.189718955,1.682192144,0.159465355,0.405537588
209,282490,0.0388,0.1,95.80152587,67.75497774,112.805938,1.177496256,1.664909971,0.150740399,0.399366922
210,282490,0.0436,0.1,125.2451426,88.57877545,146.487141,1.169603371,1.6537499,0.145009304,0.395313644
211,282490,0.0491,0.1,164.5544859,116.3800412,187.480766,1.139323337,1.610935725,0.122286038,0.379242769
212,282500,0.0544,0.1,208.2668983,147.2953476,239.283828,1.148928754,1.624517216,0.129624012,0.384432501
213,282490,0.0613,0.1,274.0045907,193.7878836,311.936938,1.138436904,1.609682361,0.121602615,0.378759422
214,282490,0.0691,0.1,360.8092014,255.1798543,408.252156,1.131490423,1.599860448,0.11620993,0.374945483
215,282490,0.0776,0.1,471.0241689,333.1286406,530.721938,1.126740352,1.593144129,0.11248408,0.372310401
216,282490,0.0871,0.1,614.1672498,434.3656112,689.818125,1.123176342,1.58810483,0.109667857,0.370318646
217,282480,0.0975,0.1,795.8260474,562.8425606,898.602625,1.129144526,1.596543488,0.114373779,0.373646877
218,316460,0.0109,0.1,6.174171337,4.366640695,9.15257,1.482396503,2.096020863,0.325416649,0.522905512
219,316470,0.0122,0.1,7.998951016,5.657203715,11.8189805,1.477566305,2.08919125,0.323211421,0.52134588
220,316470,0.0138,0.1,10.61703356,7.508824791,15.2768,1.438895329,2.03451278,0.305022416,0.508481829
221,316460,0.0156,0.1,14.07094204,9.951578077,19.7133105,1.400994364,1.98092306,0.286221255,0.495184836
222,316470,0.0175,0.1,18.3243902,12.95980037,25.4145,1.386922005,1.961025577,0.278978921,0.490062745
223,316470,0.0195,0.1,23.49701094,16.61810121,32.1167305,1.366843237,1.932635389,0.268387206,0.482571826
224,316460,0.0219,0.1,30.67724548,21.69627326,41.1258281,1.340597158,1.895524988,0.254063763,0.472441668
225,316460,0.0243,0.1,38.95691657,27.55201434,52.0213281,1.335355379,1.888113423,0.251135679,0.470370801
226,316480,0.0272,0.1,50.4809413,35.70230248,66.2369922,1.312118802,1.855258277,0.237873888,0.46099149
227,316470,0.0308,0.1,67.1644113,47.50157318,86.5472,1.28858719,1.821985972,0.223956277,0.451148354
228,316470,0.0344,0.1,86.58559204,61.23707121,110.489359,1.276070954,1.804288755,0.216344517,0.445764988
229,316460,0.0387,0.1,113.489738,80.26484551,142.717984,1.257540871,1.778088316,0.204797217,0.437598239
230,316460,0.0436,0.1,149.2520168,105.557474,185.673797,1.244028731,1.75898295,0.196160044,0.431489657
231,316460,0.0484,0.1,189.7319225,134.186612,232.469969,1.225254907,1.732437875,0.183843301,0.422778725
232,316470,0.0545,0.1,249.2353578,176.270012,302.261812,1.212756547,1.714765935,0.175432199,0.416830029
233,316460,0.0613,0.1,326.5255398,230.9329677,392.917938,1.203329878,1.701437183,0.168972683,0.412261581
234,316460,0.0687,0.1,424.2713987,300.0630618,509.714344,1.201387474,1.698690738,0.167629078,0.411311325
235,316470,0.0772,0.1,554.710951,392.3155482,659.745312,1.189349716,1.681670061,0.159204407,0.405353034
236,316460,0.0865,0.1,720.3577366,509.4681109,858.094875,1.191206579,1.684295556,0.160515046,0.406279975
237,354580,0.0107,0.1,7.053122445,4.988272889,12.0254199,1.704978184,2.410738179,0.413482231,0.585189296
238,354590,0.0121,0.1,9.356213833,6.617118613,15.4903398,1.65562054,2.340949393,0.395996863,0.572822888
239,354590,0.0137,0.1,12.44589095,8.802271748,19.8861699,1.597810071,2.259208812,0.374143386,0.557367166
240,354590,0.0153,0.1,16.04160107,11.34531328,25.42225,1.584770117,2.24077109,0.368993654,0.553725053
241,354590,0.0171,0.1,20.71268663,14.64890677,31.9992793,1.544912057,2.184414155,0.352713965,0.542211353
242,354580,0.0192,0.1,27.02729685,19.11487191,40.7596094,1.508090492,2.132350643,0.336909817,0.531033977
243,354580,0.0214,0.1,34.67785202,24.52567504,51.9560703,1.49824938,2.118435893,0.332554371,0.527953617
244,354590,0.0239,0.1,44.70162392,31.61491955,65.5544375,1.466488949,2.073528525,0.318099192,0.51773029
245,354590,0.027,0.1,59.15915118,41.8399074,84.9714297,1.436319285,2.030870405,0.30377597,0.507600289
246,354590,0.0301,0.1,75.94142321,53.70905518,108.023656,1.422460252,2.011274554,0.296992659,0.502802838
247,354590,0.0338,0.1,99.12139782,70.1029346,138.511938,1.39739694,1.975836515,0.28438372,0.493885252
248,354590,0.0382,0.1,131.3050625,92.86461262,179.464234,1.366773151,1.932536291,0.26834969,0.482545293
