,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,error for iGSE,error for SE,loss error percent by iGSE
41,70000.0,0.0341,0.1,5.264725334898272,0.17931888257494893,5.79686,0.09179705307730868,0.9690662043632331,1.1010754847122541
42,70000.0,0.0377,0.1,6.76495154264655,0.23041725334841154,8.42182,0.1967352018154568,0.9726404443043889,1.244919486401119
43,70000.0,0.042,0.1,8.860334262751566,0.3017869191969621,10.37746,0.14619432281583675,0.9709189995242611,1.1712266932892543
44,70000.0,0.0472,0.1,11.8601622409904,0.40396239213362384,13.3587598,0.11218088965186722,0.9697604868878903,1.1263555698951768
45,70000.0,0.0534,0.1,16.143299246854905,0.5498479403721772,18.609390599999998,0.13251865180072542,0.97045320009715,1.152762537287757
46,70000.0,0.059,0.1,20.7105305481297,0.7054098664573014,22.7211309,0.08849032914423721,0.9689535758778054,1.0970810644950797
47,70000.0,0.0668,0.1,28.242639825440833,0.9619568528854047,33.1004297,0.1467591181923287,0.9709382367055673,1.1720019766064251
48,70000.0,0.0752,0.1,37.96786165105063,1.2932022265047958,43.4588281,0.12634870034494478,0.970243048810955,1.1446214300772302
49,70000.0,0.0834,0.1,49.170628185857254,1.674773428985841,54.1535703,0.09201502479962516,0.96907362857688,1.101339809922867
50,70000.0,0.0939,0.1,66.12442546515659,2.2522272922242554,71.4857578,0.07499860811216595,0.968494041868795,1.0810794543336864
51,70000.0,0.1056,0.1,88.66779927363467,3.020064613956781,95.26777340000001,0.06927813982440928,0.9682992001788847,1.074434847604567
52,70000.0,0.1178,0.1,116.51555108881341,3.9685714058726123,123.249797,0.05463900205195949,0.9678005846462157,1.0577969708614556
53,70000.0,0.1309,0.1,151.6307747627773,5.164611516235987,163.69879699999998,0.07372089751656936,0.9684505224785739,1.0795882119319302
54,70000.0,0.1475,0.1,204.32662153244962,6.959455455470846,217.12146900000002,0.05892944408712708,0.9679467190069958,1.0626195811959747
55,70000.0,0.1649,0.1,269.96618596350856,9.195168165583441,276.198219,0.022563624990251767,0.9667080830612328,1.0230844948757167
56,70000.0,0.1845,0.1,357.405195784782,12.173379665179874,355.901406,-0.00422529880306791,0.9657956404218873,0.995792479229408
57,70000.0,0.2073,0.1,478.1642528389972,16.28648676845572,467.678625,-0.022420583876368468,0.9651759009331339,0.9780710754165728
58,70000.0,0.2323,0.1,635.4960638157443,21.64527810954065,603.416125,-0.05316387396134682,0.9641287708220581,0.9495198465540055
59,70000.0,0.2598,0.1,840.4274819625329,28.62533320624055,796.614875,-0.05499847961354333,0.964066283338934,0.9478686645750525
60,70000.0,0.289,0.1,1096.6390834713563,37.35201411792159,978.1869379999999,-0.12109356695515025,0.9618150553162246,0.89198620835544
61,80000.0,0.023,0.1,2.44245401627687,0.08319106830440703,3.0581199999999997,0.2013217217516414,0.9727966632099437,1.2520686078919978
62,80000.0,0.0269,0.1,3.6121440554772724,0.12303123041089178,4.0309099999999995,0.1038886863072426,0.9694780507600289,1.1159327917411632
63,80000.0,0.0298,0.1,4.664928450623357,0.15888953437188788,5.01304,0.06944120720693295,0.9683047543263394,1.0746231272486346
64,80000.0,0.0336,0.1,6.295912721750307,0.21444158284384368,7.50725,0.1613556599619958,0.971435401399468,1.1924005830107716
65,80000.0,0.0374,0.1,8.22821730449105,0.28025673492303904,9.86139,0.16561282897329382,0.9715804024662812,1.1984843903694118
66,80000.0,0.042,0.1,10.994090139974318,0.37446359181557404,12.790690399999999,0.140461554759052,0.9707237388987561,1.1634150927590883
