,frequency,peak flux density,duty cycle,loss calculted by SE,loss calculted by iGSE,Measured loss,error for SE,error for iGSE,loss error percent by iGSE
1537,350000.0,0.1048,0.4,39.923740183501955,705.5617524402335,831.861,0.952006717247831,0.15182734562597178,1.179005235364519
1538,350000.0,0.1177,0.4,53.355405364516955,942.9360360055699,1090.4795,0.9510716108239385,0.13530145591405432,1.1564723993574877
1539,350000.0,0.1315,0.4,70.38254716277221,1243.8522315074601,1416.76025,0.95032148370709,0.12204465680946362,1.1390100963062049
1540,350000.0,0.1479,0.4,94.40155683620097,1668.3338677261638,1861.27275,0.9492811803986272,0.10365965024407962,1.1156476446388996
1541,360000.0,0.0109,0.4,0.1463636392993372,2.5866460748145337,3.2525500000000003,0.9550003414861149,0.20473287887517994,1.2574391338920277
1542,360000.0,0.0122,0.4,0.19394493911912072,3.427537863257333,4.315270000000001,0.9550561287893642,0.2057187932024341,1.2589999504481095
1543,360000.0,0.0138,0.4,0.2638640694536496,4.663200251129332,5.72013,0.9538709663148128,0.18477372872131714,1.2266533050161637
1544,360000.0,0.0154,0.4,0.34705522502180575,6.133415647793295,7.48277,0.9536194183408275,0.18032818758383667,1.220000474399967
1545,360000.0,0.017,0.4,0.4442647112522816,7.85137331266489,9.50272,0.9532486791937169,0.17377621221451436,1.2103258400248726
1546,360000.0,0.0194,0.4,0.6179034273512409,10.92004464103109,13.0219,0.9525489039732112,0.16140926892150226,1.192476810128722
1547,360000.0,0.0216,0.4,0.8081029339659587,14.281390461426037,17.0587402,0.9526282172955562,0.16281095239225005,1.1944733424994975
1548,360000.0,0.0243,0.4,1.0845658239239915,19.167246351353104,22.570700000000002,0.9519480643522801,0.15079078844018565,1.1775661243278501
1549,360000.0,0.0272,0.4,1.4373891373781011,25.40259990786489,30.2298,0.9524512521624986,0.15968349417247588,1.1900277967469213
1550,360000.0,0.0305,0.4,1.9134282475977051,33.815513810541525,40.6449297,0.952923322497524,0.1680262689557186,1.2019610267559944
1551,360000.0,0.0339,0.4,2.491605084689863,44.03348087785729,54.6736484,0.9544276784592655,0.19461235592506582,1.2416381196766397
1552,360000.0,0.0379,0.4,3.292234766134277,58.18279851441037,71.1188594,0.9537079925928301,0.181893537026968,1.2223348002483192
1553,360000.0,0.0427,0.4,4.434750994854568,78.37418711733523,96.22214840000001,0.9539113284353297,0.18548703785400808,1.2277275457536079
1554,360000.0,0.0477,0.4,5.848021181263448,103.35053915276515,126.232039,0.95367244934336,0.18126539053397409,1.22139700513234
1555,360000.0,0.0534,0.4,7.753144722913435,137.01928608086934,167.644078,0.953752349528783,0.18267744548143638,1.223507163079625
1556,360000.0,0.0601,0.4,10.41642109468943,184.0866684319712,224.997922,0.9537043675688283,0.18182947293188245,1.222239089427312
1557,360000.0,0.0665,0.4,13.412426551746648,237.03428433383317,295.033031,0.9545392375006762,0.1965839095018714,1.2446850540172611
1558,360000.0,0.0746,0.4,17.87353525238153,315.87428424814556,392.48321899999996,0.9544603835600382,0.19519034456312492,1.242529824592089
1559,360000.0,0.0838,0.4,23.899154111696483,422.36346042187586,519.441375,0.9539906613875406,0.18688906823820906,1.2298444910010877
