,frequency,peak flux density,analytical loss,Measured loss,loss calculted by iGSE,loss calculted by SE,loss error percent by iGSE
445,240000.0,0.0119,0.0,5.7365,2.7788785761835944,0.1,2.064321935173681
446,240000.0,0.0132,0.0,7.213850000000001,3.600443055893618,0.1,2.0036006369248205
447,240000.0,0.0148,0.0,9.23941,4.7916597200389,0.1,1.9282274910633663
448,240000.0,0.0165,0.0,11.7714502,6.2871893639171175,0.1,1.8722913401587153
449,240000.0,0.0185,0.0,15.6870195,8.367323565366439,0.1,1.8747953724331685
450,240000.0,0.0208,0.0,19.8783,11.21305558518569,0.1,1.772781722964304
451,240000.0,0.0233,0.0,25.3886,14.88904057838922,0.1,1.7051871049938854
452,240000.0,0.026,0.0,32.8585508,19.580535705679527,0.1,1.6781231777263916
453,240000.0,0.0292,0.0,42.9100898,26.167220324443864,0.1,1.639841346079696
454,240000.0,0.0326,0.0,54.5498906,34.455484416134254,0.1,1.583199061756806
455,240000.0,0.0365,0.0,72.38667969999999,45.69389565481861,0.1,1.5841652076860404
456,240000.0,0.0408,0.0,90.4802,60.35168098326201,0.1,1.4992159046090838
457,240000.0,0.0455,0.0,115.524531,79.24688912066338,0.1,1.457780012337132
458,240000.0,0.0512,0.0,151.74035899999998,106.42321340799188,0.1,1.425820120825303
459,240000.0,0.0574,0.0,196.558031,141.59627916786488,0.1,1.3881581645727923
460,240000.0,0.0642,0.0,254.951016,187.2932642126273,0.1,1.3612396423961264
461,240000.0,0.0718,0.0,326.668062,247.68986602418676,0.1,1.318859213917541
462,240000.0,0.08,0.0,428.613188,324.5170781969701,0.1,1.320772362371164
463,240000.0,0.0906,0.0,566.052188,442.8287561389004,0.1,1.2782642955157333
464,240000.0,0.1012,0.0,715.630625,583.8215316617656,0.1,1.2257694966526131
465,240000.0,0.1126,0.0,932.818625,762.2393389341389,0.1,1.223787040832066
466,250000.0,0.0108,0.0,5.04753,2.3296211050893403,0.1,2.1666742239641708
467,250000.0,0.0123,0.0,6.72319,3.2239404818275834,0.1,2.085395198173375
468,250000.0,0.0138,0.0,8.66148,4.297659461248382,0.1,2.0153946765907826
469,250000.0,0.0154,0.0,10.7791,5.652627030572843,0.1,1.9069186666128997
470,250000.0,0.0172,0.0,13.8340098,7.450462484241627,0.1,1.8567987999751865
471,250000.0,0.0191,0.0,17.6519297,9.67973848447681,0.1,1.8235957229947921
472,250000.0,0.0215,0.0,23.2513301,13.01019562314986,0.1,1.7871622205762567
473,250000.0,0.0241,0.0,29.9306191,17.303782273904083,0.1,1.7297154244213133
