Frequency,Flux_Density,Power_Loss,Duty_1,Duty_2,Duty_3,Duty_4,Outlier_Factor
130000.0,0.1188,263305.844,0.4,0.0,0.6,0.0,0.94
130000.0,0.1334,347655.75,0.4,0.0,0.6,0.0,0.55
130000.0,0.1493,453565.531,0.4,0.0,0.6,0.0,0.72
130000.0,0.1681,601293.875,0.4,0.0,0.6,0.0,0.84
130000.0,0.186,774466.938,0.4,0.0,0.6,0.0,-1.08
130000.0,0.2088,991427.812,0.4,0.0,0.6,0.0,1.02
130000.0,0.2346,1306478.75,0.4,0.0,0.6,0.0,0.0
130000.0,0.2623,1693389.75,0.4,0.0,0.6,0.0,0.08
130000.0,0.2939,2217629.0,0.4,0.0,0.6,0.0,-0.12
140000.0,0.0255,6233.77,0.4,0.0,0.6,0.0,-0.38
140000.0,0.0306,10167.4102,0.4,0.0,0.6,0.0,-1.16
140000.0,0.034,13430.8701,0.4,0.0,0.6,0.0,-3.2
140000.0,0.0382,17292.7305,0.4,0.0,0.6,0.0,0.71
140000.0,0.0423,22792.9297,0.4,0.0,0.6,0.0,-0.86
140000.0,0.0479,31086.0703,0.4,0.0,0.6,0.0,0.1
140000.0,0.0536,41601.2188,0.4,0.0,0.6,0.0,-0.63
140000.0,0.06,55268.5703,0.4,0.0,0.6,0.0,-0.65
140000.0,0.0677,74475.75,0.4,0.0,0.6,0.0,-0.06
140000.0,0.0753,96558.3438,0.4,0.0,0.6,0.0,0.37
140000.0,0.0845,128481.758,0.4,0.0,0.6,0.0,0.08
140000.0,0.0946,168599.094,0.4,0.0,0.6,0.0,0.22
140000.0,0.1063,222366.203,0.4,0.0,0.6,0.0,0.28
140000.0,0.1192,291190.875,0.4,0.0,0.6,0.0,0.39
140000.0,0.1331,382272.344,0.4,0.0,0.6,0.0,-0.57
140000.0,0.1494,498575.969,0.4,0.0,0.6,0.0,0.6
140000.0,0.1676,660638.625,0.4,0.0,0.6,0.0,0.02
140000.0,0.1863,855544.438,0.4,0.0,0.6,0.0,-1.04
140000.0,0.2095,1101375.5,0.4,0.0,0.6,0.0,0.52
140000.0,0.2342,1431100.12,0.4,0.0,0.6,0.0,-0.23
140000.0,0.2622,1859378.38,0.4,0.0,0.6,0.0,0.13
140000.0,0.2944,2435736.25,0.4,0.0,0.6,0.0,0.5
150000.0,0.0238,5616.95,0.4,0.0,0.6,0.0,-0.47
150000.0,0.027,7753.02,0.4,0.0,0.6,0.0,0.21
150000.0,0.0302,10500.3896,0.4,0.0,0.6,0.0,-0.8
150000.0,0.034,14074.2695,0.4,0.0,0.6,0.0,-0.09
150000.0,0.038,18467.0801,0.4,0.0,0.6,0.0,0.52
150000.0,0.0426,24946.7598,0.4,0.0,0.6,0.0,-0.38
150000.0,0.048,33417.1094,0.4,0.0,0.6,0.0,0.79
