,airgap,frequency,thickness,dis_ver,current,analytical ac/dc,measured ac/dc,dcloss,acloss,error,abs error
298,0.0005,1000000.0,3.5000000000000004e-05,0.002,7.75,1.0069726148112792,1.2940523844231304,0.60055891983758,0.7771547022024,0.2218455551471567,0.2218455551471567
299,0.0005,1000000.0,3.5000000000000004e-05,0.003,7.75,1.0069726148112792,1.3186489777910966,0.60055891983758,0.79192640574715,0.2363603720392023,0.2363603720392023
300,0.0005,50000.0,7.000000000000001e-05,0.001,7.75,1.0002797068120466,1.0145437844964085,0.30072874409134,0.30510247813728,0.014059597922077045,0.014059597922077045
301,0.0005,50000.0,7.000000000000001e-05,0.002,7.75,1.0002797068120466,1.0218149725320484,0.30072874409134,0.30728913338329,0.021075504175318224,0.021075504175318224
302,0.0005,50000.0,7.000000000000001e-05,0.003,7.75,1.0002797068120466,1.0242910103873584,0.30072874409134,0.30803374913784,0.023441876704776873,0.023441876704776873
303,0.0005,155555.55555556001,7.000000000000001e-05,0.001,7.75,1.0027044722444023,1.075589034799599,0.30072874409134,0.3234605395937,0.06776246335458085,0.06776246335458085
304,0.0005,155555.55555556001,7.000000000000001e-05,0.002,7.75,1.0027044722444023,1.1236682892585224,0.30072874409134,0.33791935340398,0.10765082379777821,0.10765082379777821
305,0.0005,155555.55555556001,7.000000000000001e-05,0.003,7.75,1.0027044722444023,1.1383474481979128,0.30072874409134,0.34233379843614,0.11915779858622536,0.11915779858622536
306,0.0005,261111.11111111002,7.000000000000001e-05,0.001,7.75,1.0076041120999253,1.117517070094723,0.30072874409134,0.33606950499022,0.09835461214519191,0.09835461214519191
307,0.0005,261111.11111111002,7.000000000000001e-05,0.002,7.75,1.0076041120999253,1.1506940165672213,0.30072874409134,0.34604676643568,0.12435095899270016,0.12435095899270016
308,0.0005,261111.11111111002,7.000000000000001e-05,0.003,7.75,1.0076041120999253,1.1953350403697962,0.30072874409134,0.35947160545878,0.15705297839490534,0.15705297839490534
309,0.0005,366666.66666667,7.000000000000001e-05,0.001,7.75,1.0149474882862393,1.159857781549537,0.30072874409134,0.34880257396996,0.12493798426708981,0.12493798426708981
