,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,ratio igse,ratio se,error for iGSE,error for SE,loss error percent by iGSE
2297,230000,0.0112,0.9,2.318062601,0.094210185,4.3477,1.875574887,46.14893814,0.46683014,0.978331029,1.875574886
2215,190000,0.0125,0.9,2.331689616,0.094764011,3.65415,1.567168278,38.56052484,0.361906431,0.974066743,1.567168278
2076,130000,0.0155,0.9,2.340489897,0.09512167,2.69468,1.151331609,28.32877093,0.131440506,0.964700198,1.15133161
97,90000,0.0191,0.1,2.351542563,0.09557087,2.41907,1.02871623,25.31179218,0.027914627,0.960492722,1.02871623
2316,240000,0.011,0.9,2.354374364,0.095685959,4.79905,2.038354679,50.15417152,0.509408245,0.980061479,2.038354679
353,200000,0.0122,0.1,2.359828735,0.095907635,4.1968,1.778434146,43.75876853,0.437707602,0.977147437,1.778434146
147,110000,0.0171,0.1,2.366204725,0.096166766,2.9941,1.265359657,31.13445658,0.209710856,0.967881244,1.265359658
374,210000,0.0119,0.1,2.375762166,0.096555198,4.40059,1.852285579,45.5758995,0.460126445,0.978058579,1.852285579
0,50000,0.0267,0.1,2.376411863,0.096581603,3.39003,1.426533023,35.10016292,0.298999754,0.971510104,1.426533023
2148,160000,0.0139,0.9,2.389710616,0.097122087,3.40556,1.425093054,35.06473249,0.298291436,0.971481317,1.425093054
220,140000,0.015,0.1,2.395822203,0.097370473,3.19376,1.333053845,32.80008715,0.249842755,0.969512276,1.333053845
1880,50000,0.0268,0.9,2.399754212,0.097530277,2.78323,1.159797944,28.537087,0.137780848,0.964957881,1.159797944
2236,200000,0.0123,0.9,2.41073976,0.097976749,4.23314,1.75595063,43.20555686,0.430507907,0.976854829,1.75595063
289,170000,0.0135,0.1,2.420748563,0.098383525,3.38727,1.399265521,34.42924006,0.285339355,0.970954921,1.399265521
1977,90000,0.0195,0.9,2.482495083,0.100893013,2.46493,0.992924424,24.43112686,-0.007125997,0.959068609,0.992924424
451,250000,0.011,0.1,2.500206103,0.10161282,5.32761,2.130868329,52.43049056,0.530707747,0.980927129,2.130868329
2335,250000,0.011,0.9,2.500206103,0.10161282,5.5495,2.219617012,54.61417172,0.549471826,0.981689734,2.219617012
1467,330000,0.0108,0.4,2.512310464,0.145754203,2.5376,1.010066246,17.41013259,0.009965927,0.942562184,1.010066246
2027,110000,0.0175,0.9,2.513674117,0.102160184,3.11068,1.237503294,30.44904461,0.191921343,0.967158247,1.237503294
470,260000,0.0108,0.1,2.524735767,0.10260975,5.52544,2.188522091,53.8490738,0.543070639,0.981429579,2.188522091
2428,300000,0.01,0.9,2.548689839,0.103583286,6.76797,2.655470233,65.33843694,0.623418863,0.984695073,2.655470233
506,280000,0.0104,0.1,2.551186466,0.103684753,6.47702,2.538826576,62.46839398,0.606117247,0.983991905,2.538826576
2410,290000,0.0102,0.9,2.553455407,0.103776967,6.24244,2.444702963,60.15246138,0.590952351,0.983375576,2.444702963
2100,140000,0.0154,0.9,2.56648777,0.104306625,3.38972,1.320762187,32.49764816,0.242861425,0.969228542,1.320762187
172,120000,0.0168,0.1,2.567945992,0.10436589,2.78129,1.083079632,26.64941582,0.076706855,0.962475725,1.083079632
394,220000,0.012,0.1,2.600452654,0.105687018,4.99114,1.919335079,47.22566777,0.478986233,0.978825074,1.919335079
1492,340000,0.0108,0.4,2.625187615,0.152302884,2.80279,1.067653216,18.40273753,0.063366283,0.945660259,1.067653216
311,180000,0.0135,0.1,2.633267401,0.107020668,4.30041,1.633107978,40.18298596,0.387670617,0.975113845,1.633107978
2257,210000,0.0124,0.9,2.645696374,0.107525804,4.43097,1.674784017,41.20843402,0.402908082,0.975733123,1.674784016
2171,170000,0.014,0.9,2.66223846,0.108198103,3.75951,1.412161253,34.74654265,0.291865573,0.971220158,1.412161253
488,270000,0.0108,0.1,2.668983588,0.108472238,6.25536,2.343723666,57.66784308,0.573328539,0.982659313,2.343723666
2052,120000,0.0171,0.9,2.689581052,0.109309355,3.08591,1.147357131,28.23097803,0.128431791,0.964577919,1.147357131
414,230000,0.0119,0.1,2.716235597,0.110392643,5.53278,2.036929347,50.11910078,0.509064955,0.980047527,2.036929347
72,80000,0.0216,0.1,2.727246407,0.110840142,2.91764,1.069811658,26.32295437,0.065256027,0.962010343,1.069811658
1517,350000,0.0108,0.4,2.739643541,0.158943159,2.9121,1.062948503,18.32164415,0.059220651,0.945419746,1.062948503
2446,310000,0.0101,0.9,2.745243412,0.111571572,7.28227,2.65268645,65.2699417,0.623023671,0.984679012,2.65268645
244,150000,0.0152,0.1,2.745409026,0.111578303,3.47552,1.26593887,31.14870819,0.210072442,0.96789594,1.26593887
